TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
7.499828,337160.9,157632.2,395469.8,497.1351,949.3831,867.4537
7.504891,281270.6,161205,506668.9,701.5454,665.1963,728.3833
7.511017,354690.2,183687.8,466121.1,421.5613,725.6406,732.1731
7.543406,201946.6,87053.12,360472,352.4464,220.2772,246.1123
7.557257,369768.6,203530.9,401514,509.0057,997.2341,924.064
7.559931,212962.5,111343.7,315813.6,303.1355,434.1103,557.7858
7.566834,283459,147347.2,301062.1,434.0808,345.7812,254.8715
7.574137,288401.3,193767.8,588067.1,621.3561,806.6113,765.3813
7.576366,364431.6,163858.2,429583.7,260.0179,478.2158,434.4789
7.57816,503940.3,216218.2,635532.1,350.3524,447.0868,386.5836
7.585691,312705.4,156914.2,301398,452.2775,479.9116,314.3277
7.594537,313962.3,172782.4,340663.6,302.752,321.1994,299.9503
7.601691,248574,127943.2,289735.9,306.2616,571.9715,555.043
7.613634,311907.6,156529,332638.8,533.7791,364.8184,325.8002
7.619132,434571.5,185417.1,387942.9,494.1416,250.7721,279.9988
7.635577,329434.7,189843.4,338139,298.225,403.0107,327.8057
7.654057,320581.8,155577,409787.6,456.1409,547.2275,640.0837
7.678034,344209.5,155960,468193.5,431.0873,670.1068,662.4977
7.696206,360779.2,145694.1,399994.7,368.6966,530.7119,261.8022
7.696949,411798.7,211461.6,583689.4,603.2332,1023.187,906.0737
7.738137,390461.3,231959.8,508064.8,566.7219,603.3954,504.8325
7.744697,307531.6,145014.2,317782.2,443.5773,295.1136,348.6861
7.75464,389091.1,162916.3,601737.4,569.2877,421.4876,642.4726
7.7976,420467,236816.2,641717,508.8877,706.6918,740.9175
7.805223,557524.1,253871.5,547677.3,1018.424,1394.052,1248.242
7.838697,320493.1,138236,511750.6,564.7607,739.9295,762.0781
7.86272,530884.6,266297.9,542848.1,224.6125,578.5335,504.4934
7.862731,436364.8,215336.8,421812.3,420.3669,489.5556,496.1618
7.90056,436819.6,228400.5,481092.8,623.8483,469.0143,577.1031
7.907691,423682.8,239890.6,481445.6,394.6202,611.4025,849.9501
7.91568,280211.1,139754.7,441745.1,393.2341,657.0859,586.4816
7.928423,375153.7,178538.1,440290.2,498.241,490.3519,412.0501
7.937817,319446.2,124602.2,422000,372.8255,474.2049,451.9383
7.986377,262746.6,137173.1,340814.7,363.4912,635.1437,604.1475
7.996846,225979,118146.6,363695,454.0912,244.1806,387.6601
8.004103,253961.3,109397.1,426895.8,533.322,888.172,1015.622
8.008868,582867,282645.4,633643.4,464.3693,353.6998,577.3981
8.014057,578785.5,263080.2,536712.3,358.1236,1137.809,762.3878
